Property,Field,Profile,UTMZone,Eastings_UTM,Northings_UTM,Longitude,Latitude,mid_depth,Ca_Soln
Sunbury,Jodies,1,55,771915.6831,6784411.623,149.7922199,-29.03957814,0.05,70.85
Sunbury,Jodies,2,55,773210.3643,6784186.859,149.8055563,-29.04132741,0.8,19765
