Property,Field,Profile,UTMZone,Eastings_UTM,Northings_UTM,Longitude,Latitude,Ca_Soln,S,Na_Soln,pH
Grandview,155,1,56,251131.2488,7305948.029,150.5471916,-24.33986861,85.25,42,39.83,7.5
Grandview,155,2,56,251469.788,7305904.858,150.5505183,-24.34031206,230.2,42,151.15,8.7
