Property,Field,Profile,UTMZone,Eastings_UTM,Northings_UTM,Longitude,Latitude,mid_depth,Ca_Soln
Adelaide,Jodies,9,55,773640.4368,6784678.619,1708700.52,-3274604.885,149.8098481,-29.03680188
Adelaide,Jodies,10,55,772825.5018,6785014.704,1707940.341,-3274174.877,149.8014064,-29.0339468
Monte Cristo,15 a,1,56,234860.66,6878036.208,1768763.353,-3187979.848,150.2990036,-28.19685638
Monte Cristo,15 a,2,56,235224.478,6877982.881,1769108.786,-3188092.457,150.3026944,-28.19741031
Monte Cristo,15 a,3,56,235397.393,6878378.129,1769342.855,-3187726.196,150.3045438,-28.19388105
Monte Cristo,15 a,4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346
