"Property","Field","Profile","UTMZone","Eastings_UTM","Northings_UTM","Eastings_AA","Northings_AA","Longitude","Latitude","mid_depth","Ca_Soln","S","Na_Soln","pH","EC","Cl","ECse","NO3N","Ex_Ca","Ex_Mg","Ex_Na","Ex_K","ESP","EMgP","CEC","ADMC","Coarse_sand","Fine_sand","Silt","Clay","P","OC","Cu","Zn","Mn","Fe","BD","VM_W","VM_D","PAWC"
"Monte Cristo","15 a",3,56,235397.393,6878378.129,1769342.855,-3187726.196,150.3045438,-28.19388105,1,181.1,2308,1470,5.9,1.2,687,7.325226233,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.617608459,0.324440448,0.355352858,-6.182481923
"Monte Cristo","15 a",3,56,235397.393,6878378.129,1769342.855,-3187726.196,150.3045438,-28.19388105,1.2,99.7,1126,1193.5,5.1,0.96,842,5.887662896,2,6.98,7.22,6.47,0.33,32.4,36.1,20,2.4,4,31,12,57,NA,NA,NA,NA,NA,NA,1.574880954,0.316897206,0.336339043,-3.888367271
"Monte Cristo","15 a",3,56,235397.393,6878378.129,1769342.855,-3187726.196,150.3045438,-28.19388105,1.4,63.45,1004.5,1142,4.8,1.03,1040,6.66117968,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56435804,0.303674868,0.324460395,-4.157105383
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,0.05,22.62,42,141.95,7.7,0.13,43,0.68297499,9,10,4.2,1.64,1.1,9.7,24.70588235,17,2,8,48,12,38,18,0.83,1,1.2,52.3,18.4,1.33043581,0.12714427,0.109006743,1.81375274
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,0.2,62.55,42,252.5,8.7,0.17,78,0.983997404,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.421022707,0.289969806,0.220851604,13.82364045
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,0.4,134.75,137.3,597,8.9,0.35,195,1.927765099,4,11.7,8.31,4.56,0.46,15.2,27.7,30,2.8,5,35,13,51,NA,NA,NA,NA,NA,NA,1.410686658,0.407313381,0.239080769,33.64652239
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,0.6,146.75,435.95,1153,9,0.65,426,3.774322721,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.444963962,0.394033011,0.248077564,29.19108955
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,0.8,142.4,675.5,925,8.4,0.72,587,4.47524393,3,8.32,8.68,6.78,0.4,30.8,39.45454545,22,2.3,4,35,13,52,NA,NA,NA,NA,NA,NA,1.496150001,0.319540278,0.286305257,6.647004163
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,1,294.65,874.5,1200,6.3,0.84,722,5.32345177,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.531348,0.29562394,0.304173715,-1.709955143
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,1.2,98.4,960.5,1057,5.2,0.89,781,5.832212004,7,5.38,5.51,5.03,0.28,31.4,34.4375,16,2.4,4,35,13,49,NA,NA,NA,NA,NA,NA,1.511992497,0.317276825,0.293675723,4.720220396
"Monte Cristo","15 a",4,56,235036.224,6878430.692,1768999.874,-3187614.782,150.3008799,-28.1933346,1.4,59.25,874,997.5,5,0.89,856,6.042690952,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.521522122,0.326341415,0.290162498,7.235783399
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,0.05,45.71,51,186.7,7.9,0.14,36,0.631604311,7,13.8,6.52,2.3,0.87,9.6,27.16666667,24,3,4,33,14,49,11,0.86,1.1,1.1,41,18,1.349205078,0.161343016,0.116025317,4.531769872
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,0.2,113.8,108.95,283.95,8,0.2,92,1.055126214,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.347208543,0.385136009,0.209985533,35.03009524
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,0.4,200.45,198.6,517.5,8.2,0.42,350,2.472136852,6,13.6,11,5.24,0.44,16.4,34.375,32,3.1,3,29,14,60,NA,NA,NA,NA,NA,NA,1.368621592,0.415175582,0.233526961,36.32972417
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,0.6,197.5,370.85,815,8.1,0.66,661,4.15640313,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40058476,0.382547239,0.229345682,30.64031144
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,0.8,234.15,591.5,1002,6.6,0.76,773,4.707496565,1,8.19,8.61,6.03,0.33,20.1,28.7,30,2.4,4,33,5,63,NA,NA,NA,NA,NA,NA,1.511440526,0.33981067,0.280135583,11.93501744
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,1,185.45,715,1076.5,5.3,0.73,796,4.644461601,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.562783475,0.349394191,0.329465591,3.985719912
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,1.2,858,7850,11735,4.9,0.8,917,5.580644739,2,6.08,6.74,5.36,0.25,48.7,61.27272727,11,2.6,4,35,12,54,NA,NA,NA,NA,NA,NA,1.582688084,0.339115731,0.344777872,-1.132428126
"Monte Cristo","15 a",5,56,235262.93,6878753.463,1769274.282,-3187329.637,150.3032603,-28.19046969,1.4,307.45,6740,10845,4.8,0.83,921,5.713073179,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.626614272,0.330247304,0.337247351,-1.400009434
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,0.05,271.45,1660.5,3314.5,7.8,0.21,132,1.323555537,3,11.8,6.67,2.64,0.65,12,30.31818182,22,2.6,4,43,16,40,7,0.54,1.2,0.9,26.4,16.3,1.289095373,0.128331646,0.084789284,4.35423622
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,0.2,477.4,3058.5,7630,8.8,0.47,401,3.316295491,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.448412495,0.356290424,0.161374792,38.98312636
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,0.4,766,2478,7290,8.5,0.6,668,4.000763001,1,11.6,8.46,5.77,0.36,27.5,40.28571429,21,2.7,3,27,13,58,NA,NA,NA,NA,NA,NA,1.484665171,0.348406652,0.182090256,33.26327911
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,0.6,2410,4301,9070,6.9,0.77,857,5.133669949,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.538473876,0.323921544,0.192602956,26.26371759
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,0.8,743,6485,9060,5,0.84,908,5.625863637,6,6.96,5.75,5.37,0.36,45.8,47.91666667,12,2.5,3,33,13,56,NA,NA,NA,NA,NA,NA,1.642338164,0.337232608,0.208229947,25.80053225
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,1,227.2,6510,9600,4.7,0.88,971,5.942741722,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.617608459,0.333859231,0.229695866,20.83267298
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,1.2,112.9,6060,9780,4.6,0.91,1080,6.49723778,8,5.67,5.25,4.92,0.35,34,37.5,14,2.4,3,33,13,53,NA,NA,NA,NA,NA,NA,1.574880954,0.317011072,0.305881424,2.225929423
"Monte Cristo","15 a",7,56,235016.595,6879080.457,1769088.731,-3186963.067,150.3008274,-28.18747174,1.4,64.1,5525,9190,4.4,0.89,1080,6.414681796,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56435804,0.310556686,0.321152187,-2.119100118
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,0.05,127.15,694.5,1937.5,7.5,0.17,84,1.069397573,9,8.54,5.47,1.88,1.05,11.1,32.17647059,17,1.8,8,50,13,32,14,0.72,0.7,1.1,40.4,18,1.46154505,0.179019916,0.077799017,10.12208994
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,0.2,351,2038.5,4746.5,8.7,0.34,251,2.470111558,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.628585758,0.32733896,0.189278156,27.61216091
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,0.4,1065,3904.5,12015,9,0.66,520,4.428408509,11,7.84,8.67,4.84,0.26,25.5,45.63157895,19,2.2,7,42,10,42,NA,NA,NA,NA,NA,NA,1.656114901,0.312790798,0.219964704,18.56521881
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,0.6,574,5925,12840,8.7,0.86,661,5.717112094,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.608274805,0.268009822,0.216163127,10.36933892
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,0.8,799,8305,9060,5.3,0.83,763,5.743134467,15,5.35,7.27,5.49,0.36,27.4,36.35,20,2.1,5,39,12,45,NA,NA,NA,NA,NA,NA,1.626968927,0.273226693,0.240650926,6.515153455
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,1,327.5,8855,9150,4.9,0.82,805,5.824854596,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.629800898,0.264828927,0.244632272,4.039331077
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,1.2,173.5,8440,9290,4.7,0.82,834,5.967307577,12,4.37,6.45,5.18,0.24,40.4,49.61538462,13,2.2,5,41,12,44,NA,NA,NA,NA,NA,NA,1.610989396,0.286796884,0.276926526,1.974071669
"Monte Cristo","15 a",9,56,236040.179,6879351.503,1770130.563,-3186859.608,150.3113056,-28.18523284,1.4,100.6,7260,8605,4.6,0.79,896,6.019898685,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.601690085,0.291007441,0.295488645,-0.896240777
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,0.05,191.35,300.9,1826.5,7.7,0.1,39,0.523171342,12,12,5.8,2.34,1.24,10.6,26.36363636,22,2.3,4,38,13,44,33,0.67,1.1,3.1,41.5,18.9,1.441910317,0.141412292,0.095922221,4.549007121
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,0.2,967,1980,3920.5,8.5,0.21,118,1.228756282,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.541684961,0.406907214,0.255626427,30.25615755
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,0.4,1285,2549,7965,8.8,0.49,415,3.063052216,8,12.8,9.05,6.19,0.65,28.1,41.13636364,22,2.6,5,33,13,53,NA,NA,NA,NA,NA,NA,1.551871629,0.479231161,0.291188276,37.60857704
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,0.6,2341,4835,10165,8.4,0.78,847,5.367598779,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.551689219,0.468841055,0.293940345,34.98014195
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,0.8,2343,8400,13060,6.1,1.06,1220,7.163802808,2,9.3,8.7,7.98,0.54,34.7,37.82608696,23,2.8,2,29,17,58,NA,NA,NA,NA,NA,NA,1.580624892,0.432505292,0.311298176,24.2414232
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,1,822.5,9790,12540,4.8,1.13,1300,7.635527816,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.611240474,0.389994025,0.356243092,6.750186675
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,1.2,657.5,9080,13425,4.5,1.09,1320,7.461906334,5,7.24,6.89,6.7,0.43,39.7,40.52941176,17,2.6,2,28,15,59,NA,NA,NA,NA,NA,NA,1.607837075,0.386289015,0.413455029,-5.433202928
"Monte Cristo","15 a",11,56,235171.882,6879478.951,1769306.17,-3186590.686,150.302498,-28.18390968,1.4,247.55,8305,12515,4.4,1.06,1300,7.294834932,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60260936,0.384455283,0.402257593,-3.560462181
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,0.05,303.9,332.85,2341,7.2,0.07,20,0.341813481,9,12.8,4.66,0.95,1.52,4.5,22.19047619,21,2.8,5,41,17,42,20,0.87,0.9,1.6,44.3,17.8,1.475906999,0.205071094,0.076228329,12.88427651
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,0.2,478.1,335.9,3363.5,8.5,0.16,21,0.652601134,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.542985664,0.428072681,0.194604361,46.69366395
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,0.4,278.1,776.5,4618.5,8.7,0.22,52,0.934696966,4,14.7,8.88,3.33,0.85,15.1,40.36363636,22,3.2,3,30,17,55,NA,NA,NA,NA,NA,NA,1.531445881,0.44353636,0.246398035,39.42766499
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,0.6,480.85,924.5,4628.5,8.8,0.27,226,1.653708064,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.605904877,0.429839901,0.270856667,31.79664674
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,0.8,1427,2292,7515,8.4,0.56,658,3.913302201,1,9.55,9.76,6.61,0.83,22,32.53333333,30,2.8,2,27,19,55,NA,NA,NA,NA,NA,NA,1.663880515,0.431292694,0.268856911,32.48715652
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,1,2620.5,8700,11555,6.2,0.74,764,4.906731363,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67653749,0.392422772,0.264383971,25.6077603
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,1.2,502.5,9310,10190,4.8,0.88,901,5.632312301,3,5.97,7.3,6.59,0.42,41.2,45.625,16,3.5,2,28,15,59,NA,NA,NA,NA,NA,NA,1.705181355,0.376562346,0.297720016,15.76846591
"Monte Cristo","15 a",12,56,235457.113,6879759.686,1769630.583,-3186357.045,150.3054642,-28.18143549,1.4,218.9,8990,9750,4.5,0.89,960,5.813614598,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.717189892,0.398890886,0.284280986,22.92198006
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,0.05,395.35,193.5,2235.5,8,0.12,43,0.628322488,14,14.9,5.91,2.04,0.81,7.8,22.73076923,26,2.1,7,40,16,41,15,1.27,0.8,3.4,57.9,18.8,1.355534855,0.152100193,0.072858527,7.924166627
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,0.2,484.25,559.5,5840,9,0.27,106,1.451330599,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.437816836,0.349312756,0.23593363,22.67582532
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,0.4,932.5,4003.5,13360,9,0.57,386,3.218814681,8,16.5,11.6,6.36,0.29,19.9,36.25,32,2.5,5,28,12,56,NA,NA,NA,NA,NA,NA,1.446555187,0.37559464,0.241745239,26.76988028
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,0.6,1486,6525,18560,8.8,1.04,904,6.407224664,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.473902009,0.378898428,0.229716648,29.83635588
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,0.8,1391.5,23155,21825,6.8,1.47,1060,8.677890503,11,9.64,9.16,7.81,0.26,26.9,31.5862069,29,2.2,3,30,11,53,NA,NA,NA,NA,NA,NA,1.524179307,0.370774231,0.247811608,24.59252458
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,1,741,13425,19345,4.9,1.28,1320,8.627203714,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.550255259,0.345694139,0.307325554,7.673716983
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,1.2,442.6,12690,20220,4.6,1.17,1210,7.699625929,7,6.79,7.59,6.78,0.18,25.1,28.11111111,27,2.1,2,30,8,56,NA,NA,NA,NA,NA,NA,1.566939701,0.347898337,0.327716435,4.036380454
"Monte Cristo","15 a",13,56,236154.65,6879657.953,1770292.959,-3186572.43,150.3125397,-28.18249244,1.4,287.75,7735,11975,4.4,1.15,1270,7.768753612,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.590368182,0.345592268,0.348847316,-0.651009589
